Participant_ID;SCG_to_Gambling_Reason1;SCG_to_Gambling_Reason2;SCG_to_Gambling_Reason3;Gambling_to_SCG_Reason1;Gambling_to_SCG_Reason2;Gambling_to_SCG_Reason3;SCG_Play_Reason1;SCG_Play_Reason2;SCG_Play_Reason3
SCG_001;;;;social media took off;a fun diversion;it's good practice for the real thing;They're fun.;It's a good way to relax.;Competition.
SCG_002;;;;They were new along with smart phones;Smart phones made it easy to do wherever I was;Fun;fun;goof with friends;no worries about losing money
SCG_003;I finally became the age of legal gambling.;I was curious to go to my first casino.;It was exciting to gamble with real money that had a real risk.;;;;Entertainment;Quick game play;Replacement when I dont have money to go to a casino
SCG_004;;;;easily accessible;its fun;something to pass time;they are fun;something to do;i like casino games
SCG_005;;;;I didn't want to spend real money gambling;It was fun;It was addicting;It's fun;It's addicting;I like gambling without real money at risk
SCG_006;;;;Social Casino Games weren't around when I first gambled;I cvould play them with less risk;They were fun;To Relax;Have Fun;Waste some time
SCG_007;;;;Easier;More fun;Less risk;Sometimes boredom;Thrill of winning;"Anxiety; keeps my mind off other things"
SCG_008;fun;money;challenge;;;;fun;pass time;challenge
SCG_009;;;;Gambling can be a waste of money;By happenstance I just started playing social casino games first;It was easier to just buy lottos or use scratch offs;They can be entertaining;They can be a good time waster;It can be rewarding
SCG_010;;;;No cost;play at home;more variety;practice my poker skills;fight off boredom;social interaction
SCG_011;;;;I don't lose my money;It's fun to play and get bonuses on my spare time;It's easy and convienent;It's fun;It's easy to open on my phone/laptop when im bored;Boredom
SCG_012;More risk;More fun;being able to earn;;;;The experience;the thrill;the fun
SCG_013;;;;Boredom;No risk involved;My parents had it downloaded on their computer;Boredom;I like completing challenges when there are some;I earn real rewards for las vegas
SCG_014;;;;more convenient location;not losing real money;can do it aanytime;pass the time;I want to advance levels;its fun
SCG_015;Thrill;pleasure;socialize;;;;fun;exciting;addicting
SCG_016;;;;Fun;Not losing money;Social interaction;Fun;The experience of gambling;social interaction
SCG_017;More disposable income;Fun;Curiosity;;;;Fun;Killing time;Interacting with friends
SCG_018;;;;ENTERTAINMENT;PRACTICE;BOREDOM;ENTERTAINMENT;FUN;SIMILAR TO THE REAL GAMES
SCG_019;More excitement;Potential profits;More social;;;;Passes time;Enjoyable;Relieving boredom
SCG_020;;;;I no longer gambled at the time;I enjoy playing poker;It was a fun way to relax;It relaxes me;I like the fun of it;I am competitive
SCG_021;;;;more interactive;more fun;playing with people like me;excitement;relieve boredom;to entertain myself
SCG_022;;;;Cell phones;better internet;different friends;fun;competitive;thrills
SCG_023;Risk;Potential reward;New experience;;;;Enjoyment;Boredom;Relaxing
SCG_024;;;;i was young;before it was with family;no money;i dont use money;i lie the statistics behind;great thinking game
SCG_025;;;;Easier access;More interaction;More fun;fun;appealing;interactive
SCG_026;;;;It looked fun.;People I know were playing it.;Kill time;It's fun.;It's mindless.;Something to do while waiting somewhere.
SCG_027;;;;Not enough money to gamble;Convenience;Time;Boredom;Passing time;Fun
SCG_028;;;;Real gambling was losing it's thrill;I felt alone;Friends encouraged me to play social games;Pass time;Excitement;Like to compete against others
SCG_029;;;;The tech wasn't around;The tech wasn't as good;The tech wasn't as well known;To pass time;To practice betting situations;for fun
SCG_030;;;;Easy and Quick;Costs Less;Something New/Fun kind if like a video game;fun;distraction from real life;Quick and easy
SCG_031;;;;free;got smartphone;entertaining;free;entertaining;time killer
SCG_032;;;;Socializing/Sharing the fun;No real losses;Excitement/Mobile;excitement;socializing;mobile
SCG_033;sounded fun;sometimes i won money;seemed a better use of my time than fake money;;;;it's fun;my friend's play;it's competitie
SCG_034;;;;They didn't exist until the period I've stated.;Because they're good time killers.;Honestly, I tend to play them often while playing real life poker as a microdistraction to help my ADHD.;Something to do.;I enjoy anything that keeps working on my poker skills.;Helps pass time
SCG_035;;;;To have fun with my friends.;To have the excitement of casino games.;To be able to pretend to bet and not lose money.;To cure my boredom.;To have fun with friends.;To get a taste of gambling without the risk of losing money.
SCG_036;;;;no money involved;more fun;less serious;fun;less serious;time killer
SCG_037;;;;that's when it became available for fun;boredom;better phone;bored;better phone;repetition
SCG_038;;;;ease of playing slots at home;able to play everyday;various types of slots on myvegas;enjoyment;like earning points for rewards;The ease of it being able to just log in
SCG_039;It was legal;I was excited;I wanted to win;;;;it is fun;i enjoy it;it is an escape
SCG_040;It makes me feel manly.;Its a fun and exciting hobby.;Its cool.;;;;Its constructive.;I can prevail over others in it.;Its fun.
SCG_041;It seemed easy to win on the social casino games, so I thought it would be easy playing for real money.;I received a voucher to use for real money, and I downloaded the game.;I began to visit brick-and-mortar casinos.;;;;I struggle with depression and anxiety, so it allows me to sit alone and look busy or unapproachable.;I have an addictive personality and love the slots that are similar to real-world slots.;I like to compete with my family and friends from Facebook.
SCG_042;;;;I like playing games;I like the competition;the rush;rush;chatting;fun
SCG_043;;;;To earn money through task-based websites;To earn gems/in-game credits for other games;To get the thrill of gambling without the financial hit.;"The way my phone buzzes when I ""win big""";The benefits of connecting to social media;To give me something different to play on my phone
SCG_044;;;;looked fun;friends did it;could win;fun;social;can win
SCG_045;;;;Accessibility (use of a smartphone);Advancement in apps;Raised interest in different types of games;Fun distraction;Sense of accomplishment;Pleasure
SCG_046;;;;lack of risk;time consuming;relaxation without risk;consume time;less risky than gambling;thrill of winning
SCG_047;;;;When I didn't have time to go to the Casino;When I didn't have money to go to the casino;It gives me a sense of winning and being successful and more convenient;I pretend it's real money;I feel like it's practice for the times I go to a real casino;It feels like a challenging way to pass time
SCG_048;;;;Wasn't just about the money, the joy of winning was great to me;I met a lot of people online who enjoyed playing as much as I do;Learn how to play, get better at gambling later.;Winning;Learning about win odds;Socializing with others
SCG_049;;;;To get credits to use at Vegas Hotels;To earn money on an app on my phone;To remember how to play Craps before going to Vegas;To earn credits;To relax;To have fun
SCG_050;I enjoyed it;I wanted to experience it;I liked the idea of gambling;;;;They are fun;I like the simulation of gambling;I want to win
SCG_051;I was finally old enough to gamble legally;I was old enough to go inside an actual casino;I had money to gamble for real money;;;;I am bored;I enjoy playing with random people;"I want to brush up on my ""skills"" for real life"
SCG_052;Wanted to try the real thing;It was more social with friends;Family liked going out to the casino;;;;They are entertaining;It gives me some thrill;I can earn real-life rewards
SCG_053;;;;No money required;Just for Fun;Meet/Chat with other players;It's fun;I like chatting with other players;I don't lose real money
SCG_054;It seemed more fun;Real rewards;It's exciting when you win;;;;It's fun;I use it to pass the time;Addicting
SCG_055;;;;Play anytime;Bet any amount;Do not have to leave house;Fun;Exciting;Money
SCG_056;;;;easy access;enjoyment;talking to others;fun;intereaction;lonely
SCG_057;;;;It passed the time;My mother played;I was bored;I like them;It's interesting;I play with my mom
SCG_058;;;;No money involved to play;Prizes to be earned;Fun graphics;Thrill of gambling;Free prizes;Passes the time
SCG_059;;;;did not have to travel to do it;cheaper;to make friends;to kill time;enjoy the games;to interact with people
SCG_060;;;;Hard to get to casinos;Phone is always with me;Usually on Facebook anyway;Passes the time;Fun;Boredom
SCG_061;;;;They weren't invented yet;n/a;n/a;they're fun;my friends play;it keeps me occupied during down times
SCG_062;;;;Passing time;No fear of losing money;Just for fun;For fun;Test my poker skills;To pass time
SCG_063;adrenaline rush;reached legal age;possibility of winning and making money.;;;;kill time;entertainment;practice for real gambling
SCG_064;Social setting;Thrill;Risk;;;;Entertainment;Get into the game;Try to win
SCG_065;;;;Convenience;Coincidence;Fun;Convenience;Downloading the app gave me money;Just to try it
SCG_066;;;;Fun;Distracting;Inexpensive;It is fun;It is relaxing;I can play with friends
SCG_067;;;;stop spending money;free to play;a distraction;way to relax;fun;enjoyable
SCG_068;;;;accessibility;boredom;entertainment;Boredom;entertainment;fun
SCG_069;;;;I felt I was losing too much money;they are free;I still get to feel like Im winning something;I enjoy them;I can see what my friends have achieved;They are free, save for what I spend on special features
SCG_070;;;;For fun;liked the excitement;Friends played;For entertainment;Win prizes;Friends play
SCG_071;;;;Increased access;Availability;Easier;Excitement;Pass the time;Fantasize about winning
SCG_072;;;;more games available;smartphones came about;easier to access;easily accessible;very fun and exciting;can earn money/tokens
SCG_073;;;;I liked poker;luck and skill combo;social aspect;relaxation;friendship;enjoyment of game
SCG_074;;;;convenience;satisfy gambling urge;play with different people;pass time;convenience;bathroom use
SCG_075;;;;play with friends;fun;a little exciting;play with friends;fun;a little exciting
SCG_076;talent;curiosity;money;;;;boredom;money;socializing
SCG_077;;;;Fun;Interesting;Time killer at appointments;Interactive;Competitive with friends;Keeps me distracted somewhat excited
